Time,MarketID,Side,BTC_Price,Net,Fluc,Reason,Multiplier,Prob,Amount
2026-03-05 00:01:14,1492711,NO,73270.0,-156.5500000000029,268.3299999999872,Condition_1_HARD_ABS (156.55 > 140.0),1.0,0.6000,3.00
2026-03-05 00:07:25,1492718,NO,73159.99,-149.0399999999936,152.75,Condition_1_HARD_ABS (149.04 > 140.0),1.0,0.8400,3.00
2026-03-05 00:11:38,1492731,NO,72842.41,-110.83999999999651,202.0,Condition_2_BREAK_DOWN (Cur:72842.41 < Min:72923.73 - 72.84),1.0,0.7100,3.00
2026-03-05 00:16:33,1492875,YES,73031.83,146.2100000000064,146.2100000000064,Condition_1_HARD_ABS (146.21 > 140.0),1.0,0.8300,3.00
2026-03-05 00:21:38,1492887,NO,72698.7,-160.88999999999942,212.57000000000698,Condition_1_HARD_ABS (160.89 > 140.0),1.0,0.7300,3.00
2026-03-05 00:25:15,1492928,YES,72808.58,146.35000000000582,149.7600000000093,Condition_1_HARD_ABS (146.35 > 140.0),1.0,0.7100,3.00
2026-03-05 00:33:09,1492930,YES,73145.99,143.98000000001048,143.98000000001048,Condition_1_HARD_ABS (143.98 > 140.0),1.0,0.8800,3.00
2026-03-05 00:39:13,1492944,YES,73257.97,121.97000000000116,173.99000000000524,Condition_2_BREAK_UP (Cur:73257.97 > Max:73146.56 + 109.89),1.0,0.9100,3.00
2026-03-05 00:41:17,1492952,YES,73355.55,145.22000000000116,150.09999999999127,Condition_1_HARD_ABS (145.22 > 140.0),1.0,0.6900,3.00
2026-03-05 00:58:42,1493138,YES,73482.16,145.36000000000058,145.36000000000058,Condition_1_HARD_ABS (145.36 > 140.0),1.0,0.9400,3.00
2026-03-05 01:02:36,1493173,YES,73490.94,141.33000000000175,151.7899999999936,Condition_1_HARD_ABS (141.33 > 140.0),1.0,0.8500,3.00
2026-03-05 01:13:00,1493231,YES,73657.0,189.00999999999476,189.00999999999476,Condition_1_HARD_ABS (189.01 > 140.0),1.0,0.9000,3.00
2026-03-05 01:16:34,1493420,YES,73745.99,145.02000000000407,157.91999999999825,Condition_1_HARD_ABS (145.02 > 140.0),1.0,0.7300,3.00
2026-03-05 01:20:25,1493456,NO,73236.12,-89.22000000000116,110.47000000000116,Condition_2_BREAK_DOWN (Cur:73236.12 < Min:73313.00 - 73.24),1.0,0.6300,3.00
2026-03-05 01:31:26,1493505,YES,73249.99,140.0100000000093,141.34000000001106,Condition_1_HARD_ABS (140.01 > 140.0),1.0,0.8200,3.00
2026-03-05 01:48:29,1493519,YES,73336.0,146.9600000000064,152.4600000000064,Condition_1_HARD_ABS (146.96 > 140.0),1.0,0.9400,3.00
2026-03-05 01:51:06,1493556,YES,73430.63,145.5500000000029,159.49000000000524,Condition_1_HARD_ABS (145.55 > 140.0),1.0,0.8500,3.00
2026-03-05 02:10:46,1493743,NO,73194.56,-140.4499999999971,140.45999999999185,Condition_1_HARD_ABS (140.45 > 140.0),1.0,0.8300,3.00
